id,split,image_path,commonName,order,family,genus,species
25,test,001.Black_footed_Albatross/Black_Footed_Albatross_0008_796083.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
26,test,001.Black_footed_Albatross/Black_Footed_Albatross_0033_796086.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
27,test,001.Black_footed_Albatross/Black_Footed_Albatross_0024_796089.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
28,test,001.Black_footed_Albatross/Black_Footed_Albatross_0005_796090.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
29,test,001.Black_footed_Albatross/Black_Footed_Albatross_0026_796095.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
30,test,001.Black_footed_Albatross/Black_Footed_Albatross_0080_796096.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
31,test,001.Black_footed_Albatross/Black_Footed_Albatross_0047_796064.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
32,test,001.Black_footed_Albatross/Black_Footed_Albatross_0017_796098.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
33,test,001.Black_footed_Albatross/Black_Footed_Albatross_0064_796101.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
34,test,001.Black_footed_Albatross/Black_Footed_Albatross_0076_417.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
35,test,001.Black_footed_Albatross/Black_Footed_Albatross_0019_796104.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
36,test,001.Black_footed_Albatross/Black_Footed_Albatross_0057_796106.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
37,test,001.Black_footed_Albatross/Black_Footed_Albatross_0041_796108.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
38,test,001.Black_footed_Albatross/Black_Footed_Albatross_0053_796109.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
39,test,001.Black_footed_Albatross/Black_Footed_Albatross_0001_796111.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
40,test,001.Black_footed_Albatross/Black_Footed_Albatross_0071_796113.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
41,test,001.Black_footed_Albatross/Black_Footed_Albatross_0077_796114.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
42,test,001.Black_footed_Albatross/Black_Footed_Albatross_0032_796115.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
43,test,001.Black_footed_Albatross/Black_Footed_Albatross_0038_212.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
44,test,001.Black_footed_Albatross/Black_Footed_Albatross_0037_796120.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
45,test,001.Black_footed_Albatross/Black_Footed_Albatross_0082_796121.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
46,test,001.Black_footed_Albatross/Black_Footed_Albatross_0079_796122.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
47,test,001.Black_footed_Albatross/Black_Footed_Albatross_0050_796125.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
48,test,001.Black_footed_Albatross/Black_Footed_Albatross_0078_796126.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
49,test,001.Black_footed_Albatross/Black_Footed_Albatross_0036_796127.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
50,test,001.Black_footed_Albatross/Black_Footed_Albatross_0045_796129.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
51,test,001.Black_footed_Albatross/Black_Footed_Albatross_0039_796132.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
52,test,001.Black_footed_Albatross/Black_Footed_Albatross_0088_796133.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
53,test,001.Black_footed_Albatross/Black_Footed_Albatross_0068_796135.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
54,test,001.Black_footed_Albatross/Black_Footed_Albatross_0003_796136.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
55,test,001.Black_footed_Albatross/Black_Footed_Albatross_0007_796138.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
56,test,001.Black_footed_Albatross/Black_Footed_Albatross_0069_796139.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
57,test,001.Black_footed_Albatross/Black_Footed_Albatross_0035_796140.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
58,test,001.Black_footed_Albatross/Black_Footed_Albatross_0063_796141.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
59,test,001.Black_footed_Albatross/Black_Footed_Albatross_0058_796074.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
60,test,001.Black_footed_Albatross/Black_Footed_Albatross_0081_426.jpg,Black footed Albatross,Procellariiformes,Diomedeidae,Phoebastria,Nigripes
61,val,002.Laysan_Albatross/Laysan_Albatross_0002_1027.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
62,val,002.Laysan_Albatross/Laysan_Albatross_0003_1033.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
63,val,002.Laysan_Albatross/Laysan_Albatross_0082_524.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
64,val,002.Laysan_Albatross/Laysan_Albatross_0044_784.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
65,val,002.Laysan_Albatross/Laysan_Albatross_0070_788.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
66,val,002.Laysan_Albatross/Laysan_Albatross_0050_870.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
67,val,002.Laysan_Albatross/Laysan_Albatross_0071_792.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
68,val,002.Laysan_Albatross/Laysan_Albatross_0053_543.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
69,val,002.Laysan_Albatross/Laysan_Albatross_0081_800.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
70,val,002.Laysan_Albatross/Laysan_Albatross_0001_545.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
71,val,002.Laysan_Albatross/Laysan_Albatross_0023_1059.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
72,val,002.Laysan_Albatross/Laysan_Albatross_0065_809.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
73,val,002.Laysan_Albatross/Laysan_Albatross_0061_563.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
74,val,002.Laysan_Albatross/Laysan_Albatross_0085_564.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
75,val,002.Laysan_Albatross/Laysan_Albatross_0005_565.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
76,val,002.Laysan_Albatross/Laysan_Albatross_0060_777.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
77,val,002.Laysan_Albatross/Laysan_Albatross_0055_570.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
78,val,002.Laysan_Albatross/Laysan_Albatross_0025_571.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
79,val,002.Laysan_Albatross/Laysan_Albatross_0080_821.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
80,val,002.Laysan_Albatross/Laysan_Albatross_0092_834.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
81,val,002.Laysan_Albatross/Laysan_Albatross_0013_910.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
82,val,002.Laysan_Albatross/Laysan_Albatross_0091_602.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
83,val,002.Laysan_Albatross/Laysan_Albatross_0102_611.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
84,val,002.Laysan_Albatross/Laysan_Albatross_0099_869.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
85,val,002.Laysan_Albatross/Laysan_Albatross_0017_614.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
86,val,002.Laysan_Albatross/Laysan_Albatross_0047_619.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
87,val,002.Laysan_Albatross/Laysan_Albatross_0035_876.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
88,val,002.Laysan_Albatross/Laysan_Albatross_0098_621.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
89,val,002.Laysan_Albatross/Laysan_Albatross_0088_883.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
90,val,002.Laysan_Albatross/Laysan_Albatross_0034_628.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
91,val,002.Laysan_Albatross/Laysan_Albatross_0104_630.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
92,val,002.Laysan_Albatross/Laysan_Albatross_0058_637.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
93,val,002.Laysan_Albatross/Laysan_Albatross_0028_643.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
94,val,002.Laysan_Albatross/Laysan_Albatross_0033_658.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
95,val,002.Laysan_Albatross/Laysan_Albatross_0075_668.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
96,val,002.Laysan_Albatross/Laysan_Albatross_0076_671.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
97,val,002.Laysan_Albatross/Laysan_Albatross_0096_673.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
98,val,002.Laysan_Albatross/Laysan_Albatross_0064_674.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
99,val,002.Laysan_Albatross/Laysan_Albatross_0039_924.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
100,val,002.Laysan_Albatross/Laysan_Albatross_0049_918.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
101,val,002.Laysan_Albatross/Laysan_Albatross_0012_696.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
102,val,002.Laysan_Albatross/Laysan_Albatross_0056_500.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
103,val,002.Laysan_Albatross/Laysan_Albatross_0037_699.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
104,val,002.Laysan_Albatross/Laysan_Albatross_0006_702.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
105,val,002.Laysan_Albatross/Laysan_Albatross_0073_927.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
106,val,002.Laysan_Albatross/Laysan_Albatross_0042_801.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
107,val,002.Laysan_Albatross/Laysan_Albatross_0004_930.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
108,val,002.Laysan_Albatross/Laysan_Albatross_0093_725.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
109,val,002.Laysan_Albatross/Laysan_Albatross_0068_726.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
110,val,002.Laysan_Albatross/Laysan_Albatross_0040_472.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
111,val,002.Laysan_Albatross/Laysan_Albatross_0100_735.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
112,val,002.Laysan_Albatross/Laysan_Albatross_0021_737.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
113,val,002.Laysan_Albatross/Laysan_Albatross_0029_482.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
114,val,002.Laysan_Albatross/Laysan_Albatross_0059_488.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
115,val,002.Laysan_Albatross/Laysan_Albatross_0018_492.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
116,val,002.Laysan_Albatross/Laysan_Albatross_0083_756.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
117,val,002.Laysan_Albatross/Laysan_Albatross_0094_1013.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
118,val,002.Laysan_Albatross/Laysan_Albatross_0103_504.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
119,val,002.Laysan_Albatross/Laysan_Albatross_0079_506.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
120,val,002.Laysan_Albatross/Laysan_Albatross_0051_1020.jpg,Laysan Albatross,Procellariiformes,Diomedeidae,Phoebastria,Immutabilis
121,train,003.Sooty_Albatross/Sooty_Albatross_0038_1065.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
122,train,003.Sooty_Albatross/Sooty_Albatross_0031_1066.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
123,train,003.Sooty_Albatross/Sooty_Albatross_0001_1071.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
124,train,003.Sooty_Albatross/Sooty_Albatross_0016_1075.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
125,train,003.Sooty_Albatross/Sooty_Albatross_0043_1076.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
126,train,003.Sooty_Albatross/Sooty_Albatross_0003_1078.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
127,train,003.Sooty_Albatross/Sooty_Albatross_0077_1080.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
128,train,003.Sooty_Albatross/Sooty_Albatross_0063_1101.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
129,train,003.Sooty_Albatross/Sooty_Albatross_0044_1105.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
130,train,003.Sooty_Albatross/Sooty_Albatross_0071_1116.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
131,train,003.Sooty_Albatross/Sooty_Albatross_0070_796346.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
132,train,003.Sooty_Albatross/Sooty_Albatross_0030_1122.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
133,train,003.Sooty_Albatross/Sooty_Albatross_0054_796347.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
134,train,003.Sooty_Albatross/Sooty_Albatross_0033_1128.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
135,train,003.Sooty_Albatross/Sooty_Albatross_0048_1130.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
136,train,003.Sooty_Albatross/Sooty_Albatross_0032_1149.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
137,train,003.Sooty_Albatross/Sooty_Albatross_0034_1154.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
138,train,003.Sooty_Albatross/Sooty_Albatross_0055_1160.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
139,train,003.Sooty_Albatross/Sooty_Albatross_0024_1161.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
140,train,003.Sooty_Albatross/Sooty_Albatross_0045_1162.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
141,train,003.Sooty_Albatross/Sooty_Albatross_0073_1171.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
142,train,003.Sooty_Albatross/Sooty_Albatross_0074_1221.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
143,train,003.Sooty_Albatross/Sooty_Albatross_0021_796339.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
144,train,003.Sooty_Albatross/Sooty_Albatross_0005_796342.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
145,train,003.Sooty_Albatross/Sooty_Albatross_0064_796343.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
146,train,003.Sooty_Albatross/Sooty_Albatross_0042_1210.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
147,train,003.Sooty_Albatross/Sooty_Albatross_0046_1211.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
148,train,003.Sooty_Albatross/Sooty_Albatross_0017_796349.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
149,train,003.Sooty_Albatross/Sooty_Albatross_0049_796350.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
150,train,003.Sooty_Albatross/Sooty_Albatross_0050_796351.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
151,train,003.Sooty_Albatross/Sooty_Albatross_0075_796352.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
152,train,003.Sooty_Albatross/Sooty_Albatross_0068_796353.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
153,train,003.Sooty_Albatross/Sooty_Albatross_0057_796354.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
154,train,003.Sooty_Albatross/Sooty_Albatross_0010_796355.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
155,train,003.Sooty_Albatross/Sooty_Albatross_0029_796357.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
156,train,003.Sooty_Albatross/Sooty_Albatross_0069_796358.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
157,train,003.Sooty_Albatross/Sooty_Albatross_0020_796359.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
158,train,003.Sooty_Albatross/Sooty_Albatross_0058_796360.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
159,train,003.Sooty_Albatross/Sooty_Albatross_0025_796361.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
160,train,003.Sooty_Albatross/Sooty_Albatross_0041_796364.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
161,train,003.Sooty_Albatross/Sooty_Albatross_0076_796365.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
162,train,003.Sooty_Albatross/Sooty_Albatross_0004_796366.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
163,train,003.Sooty_Albatross/Sooty_Albatross_0065_796367.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
164,train,003.Sooty_Albatross/Sooty_Albatross_0072_796371.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
165,train,003.Sooty_Albatross/Sooty_Albatross_0007_796372.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
166,train,003.Sooty_Albatross/Sooty_Albatross_0014_796373.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
167,train,003.Sooty_Albatross/Sooty_Albatross_0051_796374.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
168,train,003.Sooty_Albatross/Sooty_Albatross_0040_796375.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
169,train,003.Sooty_Albatross/Sooty_Albatross_0067_796376.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
170,train,003.Sooty_Albatross/Sooty_Albatross_0066_796382.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
171,train,003.Sooty_Albatross/Sooty_Albatross_0036_796387.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
172,train,003.Sooty_Albatross/Sooty_Albatross_0079_796389.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
173,train,003.Sooty_Albatross/Sooty_Albatross_0006_796390.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
174,train,003.Sooty_Albatross/Sooty_Albatross_0019_796391.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
175,train,003.Sooty_Albatross/Sooty_Albatross_0002_796395.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
176,train,003.Sooty_Albatross/Sooty_Albatross_0022_796398.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
177,train,003.Sooty_Albatross/Sooty_Albatross_0023_796401.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
178,train,003.Sooty_Albatross/Sooty_Albatross_0013_796402.jpg,Sooty Albatross,Procellariiformes,Diomedeidae,Phoebetria,Fusca
179,test,004.Groove_billed_Ani/Groove_Billed_Ani_0068_1538.jpg,Groove billed Ani,Cuculiformes,Cuculidae,Crotophaga,Sulcirostris
180,test,004.Groove_billed_Ani/Groove_Billed_Ani_0094_1540.jpg,Groove billed Ani,Cuculiformes,Cuculidae,Crotophaga,Sulcirostris
181,test,004.Groove_billed_Ani/Groove_Billed_Ani_0033_1494.jpg,Groove billed Ani,Cuculiformes,Cuculidae,Crotophaga,Sulcirostris
182,test,004.Groove_billed_Ani/Groove_Billed_Ani_0069_1546.jpg,Groove billed Ani,Cuculiformes,Cuculidae,Crotophaga,Sulcirostris
183,test,004.Groove_billed_Ani/Groove_Billed_Ani_0080_1549.jpg,Groove billed Ani,Cuculiformes,Cuculidae,Crotophaga,Sulcirostris
184,test,004.Groove_billed_Ani/Groove_Billed_Ani_0071_1559.jpg,Groove billed Ani,Cuculiformes,Cuculidae,Crotophaga,Sulcirostris
185,test,004.Groove_billed_Ani/Groove_Billed_Ani_0037_1560.jpg,Groove billed Ani,Cuculiformes,Cuculidae,Crotophaga,Sulcirostris
186,test,004.Groove_billed_Ani/Groove_Billed_Ani_0017_1561.jpg,Groove billed Ani,Cuculiformes,Cuculidae,Crotophaga,Sulcirostris
